Interval (ms),Utc (ms),ElapsedTime (Min),SteerAngle (Deg),Battery (Volts),AccelX (G),AccelY (G),AccelZ (G),Yaw (Deg/Sec),Pitch (Deg/Sec),Roll (Deg/Sec),Gsum (G),GsumMax (G),GsumPct (%),Latitude (Degrees),Longitude (Degrees),Speed (mph),Altitude (ft),GPSSats (),GPSQual (),GPSDOP (),LapCount (),LapTime (Min),Sector (),SectorTime (Min),PredTime (Min),CurrentLap (),Distance (mi),SessionTime (Min)
3769,0,0.0628,,,0.59,0.03,-0.16,-1,0,-4,0.61,0.65,94,,,,,,,,,,,,,,,
3789,0,0.0632,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0,0.0,0.0632
3809,0,0.0635,,,0.58,0.03,-0.16,-3,2,-4,0.6,0.65,93,,,,,,,,,,,,,,,
3849,0,0.0642,,,0.58,0.03,-0.16,-4,2,-2,0.6,0.65,92,,,,,,,,,,,,,,,
3889,0,0.0648,0,,0.59,0.03,-0.16,-4,3,-0,0.61,0.65,94,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0,0.0,0.0648
3929,0,0.0655,,,0.59,0.03,-0.15,-3,3,-0,0.61,0.65,95,,,,,,,,,,,,,,,
3969,0,0.0662,,,0.58,0.03,-0.15,-0,-0,-0,0.6,0.65,93,,,,,,,,,,,,,,,
3989,0,0.0665,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0,0.0,0.0665
4009,0,0.0668,,,0.58,0.03,-0.16,3,-4,2,0.6,0.65,92,,,,,,,,,,,,,,,
4049,0,0.0675,,,0.58,0.03,-0.16,4,-6,4,0.6,0.65,93,,,,,,,,,,,,,,,
4089,0,0.0682,0,,0.58,0.02,-0.16,4,-7,5,0.61,0.65,93,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0,0.0,0.0682
4129,0,0.0688,,,0.59,0.02,-0.16,3,-6,5,0.61,0.65,94,,,,,,,,,,,,,,,
4169,0,0.0695,,,0.59,0.02,-0.16,3,-5,5,0.62,0.65,95,,,,,,,,,,,,,,,
4189,0,0.0698,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0,0.0,0.0698
4209,0,0.0702,,,0.6,0.02,-0.16,2,-3,4,0.62,0.65,95,,,,,,,,,,,,,,,
4249,0,0.0708,,,0.6,0.02,-0.16,2,-2,4,0.62,0.65,96,,,,,,,,,,,,,,,
4289,0,0.0715,0,5.08,0.6,0.02,-0.17,2,-2,4,0.62,0.65,96,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0,0.0,0.0715
4329,0,0.0722,,,0.6,0.02,-0.17,1,-2,3,0.62,0.65,95,,,,,,,,,,,,,,,
4369,0,0.0728,,,0.6,0.02,-0.17,0,-1,3,0.62,0.65,96,,,,,,,,,,,,,,,
4389,0,0.0732,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0,0.0,0.0732
4409,0,0.0735,,,0.6,0.02,-0.17,0,-1,3,0.62,0.65,96,,,,,,,,,,,,,,,
4449,0,0.0742,,,0.6,0.02,-0.17,0,-1,3,0.62,0.65,96,,,,,,,,,,,,,,,
4489,0,0.0748,0,,0.6,0.02,-0.18,-0,-1,3,0.63,0.65,96,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0,0.0,0.0748
4529,0,0.0755,,,0.59,0.02,-0.18,-2,0,3,0.62,0.65,95,,,,,,,,,,,,,,,
4569,0,0.0762,,,0.59,0.02,-0.17,-4,2,1,0.61,0.65,94,,,,,,,,,,,,,,,
4589,0,0.0765,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0,0.0,0.0765
4609,0,0.0768,,,0.6,0.02,-0.17,-4,1,-1,0.62,0.65,96,,,,,,,,,,,,,,,
